site,week_start,log10_conc,z_before_ingest,ewma_before,n_obs_before
Tillicoultry,2021-07-12,5.562,1.824,4.313,20
Troqueer,2021-07-12,4.410,0.101,4.344,32
Turriff,2021-07-12,4.093,2.199,3.663,7
Whitburn,2021-07-12,5.677,1.214,4.781,29
Winchburgh,2021-07-12,5.426,1.064,4.663,25
Allanfearn,2021-07-19,4.944,0.377,4.677,49
Allers,2021-07-19,5.037,0.048,5.005,27
Alloa,2021-07-19,4.908,-0.164,4.968,29
Alva,2021-07-19,4.960,0.431,4.686,21
Annan,2021-07-19,5.000,0.631,4.536,30
Ardoch,2021-07-19,4.369,0.021,4.357,21
Armadale,2021-07-19,5.348,0.395,5.101,28
Aviemore,2021-07-19,5.487,,5.096,5
Banchory,2021-07-19,4.832,1.580,3.795,11
Banff,2021-07-19,5.024,1.366,3.957,13
Bathgate,2021-07-19,5.497,0.988,4.777,27
Blackburn,2021-07-19,4.994,-0.133,5.060,29
Blackridge,2021-07-19,5.014,-0.312,5.296,29
Blackwood,2021-07-19,5.809,0.806,5.098,21
Blairgowrie,2021-07-19,4.585,-0.314,4.796,17
Boness,2021-07-19,4.802,0.130,4.697,21
Bonnybridge,2021-07-19,5.056,0.677,4.680,21
Bothwellbank,2021-07-19,4.820,0.330,4.638,26
Buckie,2021-07-19,4.924,,4.937,5
Carbarns,2021-07-19,5.424,0.518,5.121,46
Coldstream,2021-07-19,4.923,0.716,4.320,16
Cumnock,2021-07-19,4.880,-0.032,4.905,20
Cupar,2021-07-19,4.095,-0.299,4.317,20
Dalbeattie,2021-07-19,4.806,1.902,3.757,22
Daldowie,2021-07-19,5.464,1.534,4.715,25
Dalmarnock,2021-07-19,5.242,0.034,5.226,18
Dalmuir,2021-07-19,5.133,-0.030,5.149,47
Dalmuir - Auchinairn (6298),2021-07-19,4.213,2.504,3.575,13
Dalmuir - Auchinairn (6330),2021-07-19,4.890,0.006,4.887,13
Dalmuir - Clydebank,2021-07-19,4.850,0.062,4.795,11
Denny,2021-07-19,4.887,0.306,4.718,21
Dunbar,2021-07-19,5.056,-0.136,5.169,15
Dunblane,2021-07-19,4.704,-0.141,4.827,15
Dunfermline,2021-07-19,5.383,0.186,5.240,47
Dunnswood,2021-07-19,5.125,0.562,4.735,19
Duns,2021-07-19,4.396,1.600,3.531,16
East Calder,2021-07-19,4.952,0.276,4.818,29
Ellon,2021-07-19,4.317,0.241,4.155,11
Fairlie,2021-07-19,4.015,1.343,3.357,16
Falkirk,2021-07-19,4.742,-0.196,4.865,41
Fauldhouse,2021-07-19,5.400,0.350,5.147,26
Forfar,2021-07-19,4.992,0.226,4.830,17
Fort William,2021-07-19,4.814,7.807,3.552,32
Fraserburgh,2021-07-19,5.269,0.573,4.846,23
Galashiels,2021-07-19,4.584,1.030,3.917,32
Girvan,2021-07-19,5.117,2.990,3.694,13
Hamilton,2021-07-19,5.357,0.539,5.086,43
Harthill,2021-07-19,5.268,0.359,4.873,23
Hatton,2021-07-19,4.962,-0.444,5.239,45
Hatton - Fintry East,2021-07-19,4.560,-0.407,5.011,11
Hatton - Fintry North,2021-07-19,4.940,-0.692,5.505,10
Hatton - Fintry West,2021-07-19,5.112,-0.386,5.518,11
Hawick,2021-07-19,4.744,0.466,4.328,38
Helensburgh,2021-07-19,4.610,1.482,3.737,37
Huntly,2021-07-19,4.462,,3.810,6
Inverclyde,2021-07-19,4.687,0.002,4.686,31
Inverclyde - Gourock,2021-07-19,4.455,-1.364,5.090,13
Inverurie,2021-07-19,5.041,0.903,4.394,12
Ironmill Bay,2021-07-19,4.868,0.552,4.525,23
Kelso,2021-07-19,4.079,0.198,3.916,10
Kirkcaldy,2021-07-19,5.310,0.352,5.161,24
Kirkwall,2021-07-19,4.059,-0.196,4.214,26
Lanark,2021-07-19,4.376,-0.066,4.416,23
Largs,2021-07-19,4.191,0.125,4.116,18
Lerwick,2021-07-19,4.305,0.635,3.627,18
Lesmahagow,2021-07-19,4.675,0.009,4.667,18
Levenmouth,2021-07-19,5.139,0.588,4.781,48
Linlithgow,2021-07-19,4.974,0.175,4.844,29
Loch Ryan,2021-07-19,4.388,,3.684,6
Lockerbie,2021-07-19,4.541,1.303,3.499,30
Lossiemouth,2021-07-19,4.843,2.414,3.972,22
Mauldslie,2021-07-19,5.275,1.552,4.553,25
Maybole,2021-07-19,4.022,-0.466,4.397,17
Meadowhead,2021-07-19,5.001,0.408,4.807,43
Meadowhead - Kilmarnock HMP,2021-07-19,4.880,0.970,4.215,10
Nairn,2021-07-19,4.013,-0.564,4.485,30
Neilston,2021-07-19,5.060,0.715,4.553,19
New Cumnock,2021-07-19,4.932,0.144,4.838,22
Newport & Tayport,2021-07-19,4.338,-0.490,4.732,19
Newtown St Boswell,2021-07-19,5.631,1.748,4.084,15
Nigg,2021-07-19,5.154,0.247,4.985,50
Paisley,2021-07-19,5.333,0.646,5.006,21
Paisley - Blackhall,2021-07-19,5.293,0.215,5.114,14
Paisley - Brediland,2021-07-19,3.698,-0.450,4.100,12
Peebles,2021-07-19,4.155,1.220,3.555,29
Perth,2021-07-19,4.805,-0.002,4.806,21
Peterhead,2021-07-19,3.438,-0.685,3.805,24
Philipshill,2021-07-19,5.075,0.082,5.028,47
Sanquhar,2021-07-19,4.904,0.502,4.508,11
Seafield,2021-07-19,5.038,-0.085,5.088,43
Seafield - Cockenzie,2021-07-19,5.026,-0.240,5.262,7
Selkirk,2021-07-19,4.316,,3.928,6
Shieldhall,2021-07-19,5.027,-0.022,5.040,55
Shieldhall - Barrhead,2021-07-19,5.380,0.798,4.865,14
Shieldhall - Gorbals,2021-07-19,4.825,-0.265,4.969,14
Shieldhall - Pollockshields West,2021-07-19,4.783,,4.675,6
Shotts,2021-07-19,5.486,1.708,4.641,24
Skellyton,2021-07-19,6.003,1.428,4.977,19
Springfield,2021-07-19,4.835,1.236,4.038,22
St Andrews,2021-07-19,4.921,0.094,4.866,21
Stevenston,2021-07-19,4.379,-0.548,4.618,23
Stevenston - Stevenston East,2021-07-19,3.961,-1.019,4.961,12
Stevenston - Stevenston West,2021-07-19,4.218,0.659,3.847,13
Stirling,2021-07-19,4.508,0.942,3.950,37
Stonehouse,2021-07-19,4.357,-0.075,4.404,23
Stornoway,2021-07-19,4.468,1.767,3.504,9
Strathaven,2021-07-19,4.902,2.053,3.905,20
Swinstie,2021-07-19,5.275,1.496,4.445,20
Tillicoultry,2021-07-19,5.590,1.245,4.650,21
Troqueer,2021-07-19,4.622,0.385,4.370,33
Turriff,2021-07-19,1.000,-8.810,3.759,8
Whitburn,2021-07-19,5.273,0.179,5.134,30
Winchburgh,2021-07-19,5.456,0.642,4.963,26
Allanfearn,2021-07-26,5.114,0.460,4.782,50
Allers,2021-07-26,5.262,0.366,5.018,28
Alva,2021-07-26,4.582,-0.328,4.794,22
Ardoch,2021-07-26,4.731,0.634,4.362,22
Armadale,2021-07-26,5.662,0.725,5.198,29
Aviemore,2021-07-26,5.196,,5.250,6
Banchory,2021-07-26,4.129,0.016,4.118,12
Banff,2021-07-26,4.823,0.552,4.341,14
Bathgate,2021-07-26,4.726,-0.441,5.061,28
Blackburn,2021-07-26,5.037,0.005,5.034,30
Blackridge,2021-07-26,5.451,0.300,5.185,30
Blackwood,2021-07-26,5.430,0.058,5.378,22
Blairgowrie,2021-07-26,5.084,0.564,4.713,18
Boness,2021-07-26,4.850,0.138,4.738,22
Bonnybridge,2021-07-26,4.882,0.095,4.828,22
Bothwellbank,2021-07-26,5.293,1.059,4.709,27
Buckie,2021-07-26,4.703,,4.932,6
Carbarns,2021-07-26,5.427,0.310,5.240,47
Coldstream,2021-07-26,4.972,0.479,4.558,17
Cumnock,2021-07-26,5.209,0.411,4.895,21
Cupar,2021-07-26,4.534,0.418,4.230,21
Daldowie,2021-07-26,5.214,0.500,4.955,26
Dalmarnock,2021-07-26,5.347,0.245,5.232,19
Dalmuir,2021-07-26,4.999,-0.267,5.143,48
Dalmuir - Auchinairn (6298),2021-07-26,4.527,1.623,3.700,14
Dalmuir - Auchinairn (6330),2021-07-26,4.760,-0.191,4.888,14
Denny,2021-07-26,4.769,-0.029,4.784,22
Dunbar,2021-07-26,4.572,-0.670,5.124,16
Dunblane,2021-07-26,4.975,0.229,4.779,16
Dunfermline,2021-07-26,5.191,-0.134,5.296,48
Dunnswood,2021-07-26,5.293,0.582,4.889,20
Duns,2021-07-26,3.713,-0.140,3.797,17
East Calder,2021-07-26,5.123,0.524,4.870,30
Ellon,2021-07-26,4.804,0.858,4.219,12
Fairlie,2021-07-26,3.005,-1.156,3.598,17
Falkirk,2021-07-26,4.617,-0.321,4.816,42
Fauldhouse,2021-07-26,5.012,-0.316,5.247,27
Forfar,2021-07-26,4.418,-0.648,4.894,18
Fort William,2021-07-26,4.976,8.316,3.631,33
Fraserburgh,2021-07-26,5.434,0.563,5.013,24
Galashiels,2021-07-26,4.378,0.296,4.179,33
Girvan,2021-07-26,5.048,1.770,3.928,14
Guardbridge,2021-07-26,4.327,1.613,3.561,15
Hamilton,2021-07-26,5.438,0.474,5.193,44
Harthill,2021-07-26,6.038,0.908,5.028,24
Hatton,2021-07-26,4.859,-0.438,5.130,46
Hatton - Fintry East,2021-07-26,4.303,-0.505,4.833,12
Hatton - Fintry North,2021-07-26,5.602,0.413,5.283,11
Hatton - Fintry West,2021-07-26,4.620,-0.730,5.358,12
Hawick,2021-07-26,4.962,0.529,4.491,39
Helensburgh,2021-07-26,4.345,0.538,4.026,38
Huntly,2021-07-26,4.116,0.081,4.066,7
Inverclyde,2021-07-26,4.914,0.428,4.686,32
Inverclyde - Gourock,2021-07-26,4.885,0.052,4.861,14
Inverurie,2021-07-26,4.897,0.332,4.649,13
Ironmill Bay,2021-07-26,4.952,0.462,4.660,24
Kelso,2021-07-26,4.241,0.323,3.980,11
Kirkcaldy,2021-07-26,5.208,-0.026,5.220,25
Kirkwall,2021-07-26,4.256,0.130,4.153,27
Lanark,2021-07-26,5.037,1.067,4.401,24
Langholm,2021-07-26,5.059,,4.473,4
Largs,2021-07-26,4.260,0.195,4.145,19
Lerwick,2021-07-26,4.185,0.270,3.894,19
Lesmahagow,2021-07-26,4.716,0.053,4.670,19
Linlithgow,2021-07-26,4.779,-0.153,4.895,30
Loch Ryan,2021-07-26,4.389,0.608,3.961,7
Lossiemouth,2021-07-26,4.954,1.958,4.150,23
Mauldslie,2021-07-26,5.087,0.618,4.781,26
Meadowhead,2021-07-26,4.902,0.040,4.883,44
Meadowhead - Kilmarnock HMP,2021-07-26,4.686,0.290,4.477,11
Neilston,2021-07-26,4.926,0.231,4.753,20
New Cumnock,2021-07-26,4.743,-0.204,4.875,23
Newport & Tayport,2021-07-26,4.449,-0.162,4.577,20
Newtown St Boswell,2021-07-26,5.028,0.500,4.519,16
Nigg,2021-07-26,5.021,-0.043,5.051,51
Paisley,2021-07-26,5.046,-0.166,5.134,22
Paisley - Blackhall,2021-07-26,4.573,-0.742,5.185,15
Paisley - Brediland,2021-07-26,3.676,-0.311,3.942,13
Peebles,2021-07-26,4.832,2.086,3.791,30
Penicuik,2021-07-26,5.022,-0.541,5.426,20
Perth,2021-07-26,4.764,-0.082,4.806,22
Peterhead,2021-07-26,4.109,0.858,3.661,25
Philipshill,2021-07-26,5.529,0.837,5.046,48
Sanquhar,2021-07-26,4.542,-0.159,4.664,12
Seafield,2021-07-26,4.868,-0.341,5.069,44
Seafield - Cockenzie,2021-07-26,4.395,-0.847,5.169,8
Shieldhall,2021-07-26,4.963,-0.123,5.035,56
Shieldhall - Barrhead,2021-07-26,4.815,-0.372,5.068,15
Shieldhall - Gorbals,2021-07-26,4.505,-0.776,4.912,15
Shieldhall - Pollockshields West,2021-07-26,4.345,-0.803,4.718,7
Shotts,2021-07-26,5.453,1.071,4.884,25
Skellyton,2021-07-26,5.571,0.309,5.330,20
Springfield,2021-07-26,5.702,1.968,4.352,23
St Andrews,2021-07-26,4.912,0.041,4.888,22
St Andrews - University (2979),2021-07-26,4.022,,,0
St Andrews - University (4964),2021-07-26,3.153,,,0
Stevenston,2021-07-26,4.624,0.233,4.524,24
Stevenston - Stevenston East,2021-07-26,4.614,0.049,4.568,13
Stevenston - Stevenston West,2021-07-26,5.815,3.349,3.993,14
Stirling,2021-07-26,4.534,0.608,4.170,38
Stonehouse,2021-07-26,4.600,0.353,4.385,24
Stornoway,2021-07-26,4.206,0.721,3.772,10
Strathaven,2021-07-26,4.578,0.844,4.144,21
Swinstie,2021-07-26,5.269,0.956,4.718,21
Tillicoultry,2021-07-26,5.216,0.243,5.020,22
Turriff,2021-07-26,3.199,-1.299,3.605,9
Whitburn,2021-07-26,4.902,-0.368,5.188,31
Winchburgh,2021-07-26,5.042,-0.142,5.157,27
Allanfearn,2021-08-02,4.638,-0.370,4.913,51
Alloa,2021-08-02,4.928,-0.045,4.945,30
Annan,2021-08-02,4.642,-0.100,4.719,31
Aviemore,2021-08-02,5.360,0.120,5.228,7
Banchory,2021-08-02,4.045,-0.106,4.122,13
Banff,2021-08-02,4.332,-0.219,4.531,15
Blairgowrie,2021-08-02,4.912,0.079,4.859,19
Boness,2021-08-02,4.955,0.213,4.782,23
Bonnybridge,2021-08-02,5.076,0.401,4.849,23
Carbarns,2021-08-02,5.613,0.485,5.313,48
Coldstream,2021-08-02,5.219,0.565,4.721,18
Dalbeattie,2021-08-02,4.687,1.091,4.028,23
Daldowie,2021-08-02,5.333,0.525,5.057,27
Dalmuir,2021-08-02,5.031,-0.102,5.086,49
Dalmuir - Auchinairn (6298),2021-08-02,4.796,1.252,3.951,15
Dalmuir - Auchinairn (6330),2021-08-02,4.213,-0.949,4.838,15
Dunblane,2021-08-02,4.694,-0.188,4.856,17
Dunfermline,2021-08-02,5.216,-0.049,5.255,49
East Calder,2021-08-02,4.890,-0.164,4.970,31
Ellon,2021-08-02,4.712,0.359,4.449,13
Eyemouth,2021-08-02,4.889,2.639,3.291,8
Fairlie,2021-08-02,3.714,0.698,3.365,18
Falkirk,2021-08-02,4.274,-0.759,4.738,43
Fauldhouse,2021-08-02,4.209,-1.277,5.154,28
Forfar,2021-08-02,4.498,-0.291,4.707,19
Forres,2021-08-02,4.865,0.666,4.345,10
Fort William,2021-08-02,5.060,8.345,3.711,34
Galashiels,2021-08-02,4.359,0.149,4.258,34
Guardbridge,2021-08-02,4.826,1.947,3.794,16
Hamilton,2021-08-02,5.264,-0.047,5.289,45
Hatton,2021-08-02,4.644,-0.621,5.023,47
Hatton - Fintry East,2021-08-02,4.415,-0.210,4.625,13
Hatton - Fintry North,2021-08-02,5.311,-0.126,5.409,12
Hatton - Fintry West,2021-08-02,5.211,0.149,5.067,13
Hawick,2021-08-02,4.489,-0.209,4.677,40
Helensburgh,2021-08-02,4.180,0.049,4.152,39
Huntly,2021-08-02,4.992,1.571,4.086,8
Inverclyde - Gourock,2021-08-02,5.277,0.886,4.871,15
Ironmill Bay,2021-08-02,3.919,-1.326,4.775,25
Kirkcaldy,2021-08-02,4.845,-0.823,5.215,26
Kirkwall,2021-08-02,4.280,0.108,4.194,28
Langholm,2021-08-02,4.507,,4.704,5
Lerwick,2021-08-02,3.506,-0.468,4.009,20
Loch Ryan,2021-08-02,4.123,-0.010,4.130,8
Lockerbie,2021-08-02,4.844,1.164,3.892,31
Lossiemouth,2021-08-02,4.713,0.786,4.352,24
Meadowhead,2021-08-02,4.818,-0.150,4.891,45
Nairn,2021-08-02,4.749,0.549,4.300,31
Newport & Tayport,2021-08-02,4.374,-0.196,4.527,21
Newtown St Boswell,2021-08-02,3.675,-0.998,4.719,17
Nigg,2021-08-02,4.944,-0.136,5.039,52
Paisley,2021-08-02,4.994,-0.197,5.099,23
Paisley - Blackhall,2021-08-02,4.820,-0.156,4.944,16
Paisley - Brediland,2021-08-02,4.909,1.301,3.837,14
Peebles,2021-08-02,4.992,1.707,4.037,31
Peterhead,2021-08-02,3.735,-0.193,3.837,26
Philipshill,2021-08-02,5.062,-0.288,5.236,49
Seafield,2021-08-02,4.914,-0.130,4.990,45
Seafield - Cockenzie,2021-08-02,4.796,-0.078,4.864,9
Shieldhall,2021-08-02,4.863,-0.246,5.007,57
Shieldhall - Barrhead,2021-08-02,4.676,-0.440,4.968,16
Shieldhall - Gorbals,2021-08-02,4.662,-0.177,4.752,16
Shieldhall - Pollockshields West,2021-08-02,3.869,-1.537,4.571,8
St Andrews,2021-08-02,4.755,-0.237,4.898,23
Stevenston,2021-08-02,4.566,0.006,4.564,25
Stevenston - Stevenston East,2021-08-02,3.596,-1.086,4.586,14
Stevenston - Stevenston West,2021-08-02,3.697,-0.804,4.261,15
Stirling,2021-08-02,4.586,0.452,4.313,39
Stornoway,2021-08-02,4.415,0.792,3.943,11
Strathaven,2021-08-02,4.388,0.141,4.315,22
Troqueer,2021-08-02,4.469,-0.001,4.469,34
Allanfearn,2021-08-09,4.643,-0.220,4.804,52
Alloa,2021-08-09,4.827,-0.303,4.938,31
Annan,2021-08-09,4.843,0.200,4.688,32
Banchory,2021-08-09,4.449,0.501,4.092,14
Blackburn,2021-08-09,4.630,-0.813,5.035,31
Blairgowrie,2021-08-09,4.761,-0.177,4.880,20
Carbarns,2021-08-09,5.301,-0.204,5.431,49
Coldstream,2021-08-09,5.206,0.317,4.917,19
Cupar,2021-08-09,4.914,0.770,4.349,22
Dalbeattie,2021-08-09,4.510,0.351,4.288,24
Daldowie,2021-08-09,4.821,-0.643,5.165,28
Dalmarnock,2021-08-09,4.668,-1.275,5.277,20
Dalmuir,2021-08-09,4.747,-0.596,5.065,50
Dalmuir - Auchinairn (6298),2021-08-09,4.106,-0.220,4.283,16
Dalmuir - Auchinairn (6330),2021-08-09,4.189,-0.632,4.592,16
Dalmuir - Clydebank,2021-08-09,4.240,-0.670,4.816,12
Dunfermline,2021-08-09,4.730,-0.643,5.239,50
Dunnswood,2021-08-09,4.309,-1.054,5.048,21
East Calder,2021-08-09,4.522,-0.874,4.938,32
Eyemouth,2021-08-09,3.662,0.094,3.589,9
Falkirk,2021-08-09,4.798,0.408,4.555,44
Forfar,2021-08-09,3.866,-1.075,4.624,20
Forres,2021-08-09,4.373,-0.224,4.550,11
Fort William,2021-08-09,4.982,7.369,3.790,35
Galashiels,2021-08-09,4.672,0.550,4.297,35
Hamilton,2021-08-09,5.209,-0.131,5.279,46
Hatton,2021-08-09,4.637,-0.397,4.874,48
Hatton - Fintry East,2021-08-09,3.986,-0.584,4.542,14
Hatton - Fintry North,2021-08-09,4.994,-0.507,5.370,13
Hatton - Fintry West,2021-08-09,3.981,-1.215,5.124,14
Hawick,2021-08-09,4.063,-0.612,4.603,41
Helensburgh,2021-08-09,3.965,-0.347,4.163,40
Huntly,2021-08-09,4.096,-0.411,4.369,9
Inverclyde,2021-08-09,4.437,-0.628,4.776,33
Inverclyde - Gourock,2021-08-09,4.648,-0.854,5.030,16
Inverurie,2021-08-09,4.509,-0.314,4.747,14
Kirkcaldy,2021-08-09,5.196,0.288,5.069,27
Kirkwall,2021-08-09,3.772,-0.568,4.228,29
Langholm,2021-08-09,4.236,,4.626,6
Lerwick,2021-08-09,3.452,-0.342,3.811,21
Linlithgow,2021-08-09,4.913,0.084,4.849,31
Loch Ryan,2021-08-09,4.185,0.084,4.127,9
Lockerbie,2021-08-09,4.740,0.556,4.266,32
Lossiemouth,2021-08-09,4.571,0.161,4.494,25
Meadowhead,2021-08-09,4.774,-0.186,4.862,46
Meadowhead - Kilmarnock HMP,2021-08-09,3.709,-1.186,4.559,12
Nairn,2021-08-09,4.271,-0.248,4.476,32
Nigg,2021-08-09,4.738,-0.379,5.002,53
Paisley,2021-08-09,3.838,-2.280,5.058,24
Paisley - Blackhall,2021-08-09,4.121,-1.001,4.895,17
Paisley - Brediland,2021-08-09,3.140,-1.315,4.242,15
Peebles,2021-08-09,4.178,-0.215,4.312,32
Peterhead,2021-08-09,4.559,1.454,3.797,27
Philipshill,2021-08-09,5.206,0.064,5.168,50
Seafield,2021-08-09,4.819,-0.245,4.960,46
Seafield - Cockenzie,2021-08-09,4.975,0.168,4.837,10
Shieldhall,2021-08-09,4.915,-0.062,4.950,58
Shieldhall - Barrhead,2021-08-09,5.715,1.333,4.853,17
Shieldhall - Gorbals,2021-08-09,4.495,-0.450,4.716,17
St Andrews - University (2979),2021-08-09,3.079,,4.022,1
Stevenston,2021-08-09,4.679,0.263,4.565,26
Stevenston - Stevenston East,2021-08-09,3.227,-1.081,4.196,15
Stevenston - Stevenston West,2021-08-09,5.228,1.732,4.039,16
Stirling,2021-08-09,4.275,-0.238,4.420,40
Troqueer,2021-08-09,4.790,0.491,4.469,35
Allanfearn,2021-08-16,4.887,0.201,4.741,53
Alloa,2021-08-16,5.315,1.164,4.894,32
Annan,2021-08-16,5.019,0.346,4.749,33
Aviemore,2021-08-16,4.857,-0.409,5.280,8
Banchory,2021-08-16,4.191,-0.058,4.233,15
Bathgate,2021-08-16,5.208,0.374,4.929,29
Blackwood,2021-08-16,5.367,-0.035,5.398,23
Blairgowrie,2021-08-16,5.048,0.324,4.833,21
Carbarns,2021-08-16,4.952,-0.670,5.380,50
Cupar,2021-08-16,5.360,1.039,4.572,23
Dalbeattie,2021-08-16,5.889,2.347,4.375,25
Daldowie,2021-08-16,4.978,-0.099,5.030,29
Dalmarnock,2021-08-16,5.482,0.943,5.042,21
Dalmuir,2021-08-16,5.466,1.008,4.940,51
Dalmuir - Auchinairn (6298),2021-08-16,5.425,1.535,4.213,17
Dalmuir - Auchinairn (6330),2021-08-16,5.643,1.961,4.433,17
Dunblane,2021-08-16,5.200,0.483,4.792,18
Dunfermline,2021-08-16,5.274,0.303,5.039,51
Duns,2021-08-16,5.012,2.127,3.764,18
East Calder,2021-08-16,5.481,1.519,4.775,33
Ellon,2021-08-16,4.838,0.379,4.553,14
Fairlie,2021-08-16,3.577,0.150,3.502,19
Falkirk,2021-08-16,4.750,0.167,4.651,45
Fauldhouse,2021-08-16,5.252,0.638,4.790,29
Forfar,2021-08-16,4.466,0.203,4.326,21
Forres,2021-08-16,4.277,-0.268,4.480,12
Fraserburgh,2021-08-16,4.907,-0.356,5.178,25
Galashiels,2021-08-16,5.495,1.501,4.445,36
Hamilton,2021-08-16,5.488,0.441,5.252,47
Hatton,2021-08-16,5.067,0.490,4.781,49
Hatton - Fintry East,2021-08-16,5.175,0.931,4.323,15
Hatton - Fintry North,2021-08-16,4.425,-1.117,5.222,14
Hatton - Fintry West,2021-08-16,3.142,-1.654,4.674,15
Hawick,2021-08-16,4.449,0.068,4.390,42
Helensburgh,2021-08-16,3.542,-0.979,4.085,41
Huntly,2021-08-16,4.081,-0.287,4.262,10
Inverclyde,2021-08-16,4.968,0.618,4.643,34
Inverclyde - Gourock,2021-08-16,5.088,0.469,4.880,17
Kirkwall,2021-08-16,4.826,0.987,4.048,30
Lanark,2021-08-16,5.134,0.801,4.651,25
Lesmahagow,2021-08-16,4.284,-0.480,4.688,20
Linlithgow,2021-08-16,4.570,-0.397,4.875,32
Loch Ryan,2021-08-16,4.261,0.167,4.150,10
Lockerbie,2021-08-16,5.281,0.948,4.453,33
Lossiemouth,2021-08-16,4.923,0.827,4.524,26
Meadowhead,2021-08-16,5.314,1.037,4.827,47
Meadowhead - Kilmarnock HMP,2021-08-16,3.661,-0.817,4.225,13
Newburgh,2021-08-16,4.164,-0.078,4.227,20
Newport & Tayport,2021-08-16,4.467,-0.000,4.467,22
Newtown St Boswell,2021-08-16,4.284,-0.023,4.308,18
Nigg,2021-08-16,5.084,0.272,4.898,54
Paisley,2021-08-16,5.451,1.212,4.795,25
Paisley - Blackhall,2021-08-16,5.152,0.739,4.591,18
Peebles,2021-08-16,4.688,0.697,4.259,33
Perth,2021-08-16,5.232,0.865,4.789,23
Peterhead,2021-08-16,4.746,1.224,4.054,28
Philipshill,2021-08-16,5.164,-0.032,5.183,51
Seafield,2021-08-16,5.209,0.541,4.904,47
Seafield - Cockenzie,2021-08-16,5.139,0.319,4.892,11
Shieldhall,2021-08-16,5.500,1.000,4.936,59
Shieldhall - Barrhead,2021-08-16,5.085,-0.125,5.171,18
Shieldhall - Gorbals,2021-08-16,4.950,0.669,4.629,18
Shieldhall - Pollockshields West,2021-08-16,4.575,0.444,4.347,9
Shotts,2021-08-16,5.281,0.311,5.108,26
Springfield,2021-08-16,4.848,0.197,4.689,24
St Andrews - University (2979),2021-08-16,5.321,,3.651,2
St Andrews - University (4964),2021-08-16,3.473,,3.153,1
Stevenston,2021-08-16,5.332,1.649,4.609,27
Stevenston - Stevenston East,2021-08-16,5.180,1.510,3.815,16
Stevenston - Stevenston West,2021-08-16,5.200,1.147,4.377,17
Stirling - University,2021-08-16,3.922,,2.928,2
Troqueer,2021-08-16,5.545,1.435,4.595,36
Turriff,2021-08-16,4.558,3.490,3.451,10
Allanfearn,2021-08-23,5.462,0.915,4.798,54
Alloa,2021-08-23,5.532,1.228,5.060,33
Annan,2021-08-23,5.714,1.074,4.855,34
Aviemore,2021-08-23,5.159,0.046,5.114,9
Banchory,2021-08-23,5.393,1.663,4.216,16
Banff,2021-08-23,5.575,1.254,4.452,16
Blairgowrie,2021-08-23,5.011,0.140,4.918,22
Bonnybridge,2021-08-23,5.264,0.570,4.938,24
Bowhouse,2021-08-23,5.341,1.150,4.444,20
Buckie,2021-08-23,4.888,0.099,4.842,7
Carbarns,2021-08-23,5.588,0.602,5.211,51
Coldstream,2021-08-23,5.177,0.157,5.031,20
Dalbeattie,2021-08-23,5.818,1.429,4.692,26
Daldowie,2021-08-23,5.210,0.389,5.009,30
Dalmarnock,2021-08-23,5.422,0.427,5.215,22
Dalmuir,2021-08-23,5.357,0.387,5.147,52
Dalmuir - Auchinairn (6298),2021-08-23,5.424,0.874,4.602,18
Dalmuir - Auchinairn (6330),2021-08-23,5.541,1.183,4.737,18
Denny,2021-08-23,4.823,0.083,4.778,23
Dunbar,2021-08-23,5.210,0.377,4.907,17
Dunblane,2021-08-23,4.778,-0.205,4.953,19
Dunfermline,2021-08-23,5.584,0.581,5.131,52
Duns,2021-08-23,4.065,0.017,4.053,19
Fairlie,2021-08-23,4.084,1.128,3.532,20
Falkirk,2021-08-23,5.036,0.590,4.690,46
Fauldhouse,2021-08-23,5.733,1.042,4.972,30
Forfar,2021-08-23,4.927,0.805,4.381,22
Forres,2021-08-23,4.776,0.514,4.400,13
Fort William,2021-08-23,5.292,8.795,3.870,36
Fraserburgh,2021-08-23,5.074,0.003,5.071,26
Galashiels,2021-08-23,5.629,1.071,4.789,37
Guardbridge,2021-08-23,4.878,1.308,4.055,17
Hamilton,2021-08-23,5.658,0.570,5.345,48
Hatton,2021-08-23,5.276,0.657,4.893,50
Hatton - Fintry East,2021-08-23,4.116,-0.593,4.658,16
Hatton - Fintry North,2021-08-23,5.508,0.855,4.908,15
Hatton - Fintry West,2021-08-23,4.953,0.755,4.218,16
Hawick,2021-08-23,5.191,0.920,4.413,43
Helensburgh,2021-08-23,3.594,-0.505,3.871,42
Huntly,2021-08-23,5.466,2.133,4.191,11
Inverclyde,2021-08-23,5.026,0.475,4.771,35
Inverclyde - Gourock,2021-08-23,5.407,1.035,4.962,18
Kirkwall,2021-08-23,4.321,-0.040,4.354,31
Langholm,2021-08-23,4.406,-0.138,4.473,7
Lerwick,2021-08-23,3.487,-0.179,3.670,22
Loch Ryan,2021-08-23,4.882,1.060,4.193,11
Lockerbie,2021-08-23,5.376,0.644,4.779,34
Lossiemouth,2021-08-23,4.902,0.435,4.681,27
Mauldslie,2021-08-23,5.511,1.208,4.902,27
Meadowhead,2021-08-23,5.408,0.793,5.019,48
Meadowhead - Kilmarnock HMP,2021-08-23,4.173,0.254,4.003,14
Nairn,2021-08-23,5.310,1.123,4.396,33
Newburgh,2021-08-23,4.820,0.766,4.202,21
